,Company,Jenis,Menu,Calories,Carbo,Protein,Fat
1088,Baskin-Robbins,Ice cream,SINGLE SCOOP CUP + MILKY LOVERS,,,,
1089,Baskin-Robbins,Ice cream,6 SINGLE SCOOP + 2 TOPING,,,,
1090,Baskin-Robbins,Ice cream,2 SINGLE SCOOP,,,,
1091,Baskin-Robbins,Ice cream,2 VALUE SCOOP,,,,
1092,Baskin-Robbins,Ice cream,2 DOUBLE SCOOP,,,,
1093,Baskin-Robbins,Ice cream,2 TRIPLE SCOOP,,,,
1094,Baskin-Robbins,Ice cream,1 Quart,,,,
1095,Baskin-Robbins,Ice cream,1 Pint,,,,
1096,Baskin-Robbins,Ice cream,1 Half Gallon,,,,
1097,Baskin-Robbins,Ice cream,SINGLE SCOOP CUP + MILKY LOVERS,,,,
1098,Baskin-Robbins,Ice cream,2 pint,,,,
1099,Baskin-Robbins,Ice cream,6 SINGLE SCOOP + 2 TOPING,,,,
1100,Baskin-Robbins,Ice cream,2 SINGLE SCOOP,,,,
1101,Baskin-Robbins,Ice cream,2 VALUE SCOOP,,,,
1102,Baskin-Robbins,Ice cream,2 DOUBLE SCOOP,,,,
1103,Baskin-Robbins,Ice cream,2 TRIPLE SCOOP,,,,
1104,Baskin-Robbins,Ice cream,"Single Scoop 2,5 Oz",,,,
1105,Baskin-Robbins,Ice cream,Value Scoop 4 Oz,,,,
1107,Baskin-Robbins,Ice cream,Double Scoop 5 Oz,,,,
1108,Baskin-Robbins,Ice cream,"Triple Scoop 7,5 Oz",,,,
1109,Baskin-Robbins,Ice cream,1 Pint,,,,
1110,Baskin-Robbins,Ice cream,1 Quart,,,,
1111,Baskin-Robbins,Ice cream,1 Half Gallon,,,,
1112,Baskin-Robbins,Ice cream,2 Scoop Sundae,,,,
1113,Baskin-Robbins,Ice cream,3 Scoop Sundae,,,,
1114,Baskin-Robbins,Ice cream,Snowman,,,,
1115,Baskin-Robbins,Ice cream,Fun Sundae - Value,,,,
1116,Baskin-Robbins,Ice cream,Snowboy,,,,
1125,Baskin-Robbins,Ice cream,1 Quart,,,,
1126,Baskin-Robbins,Ice cream,1 Pint,,,,
1127,Baskin-Robbins,Ice cream,1 Half Gallon,,,,
1128,Baskin-Robbins,Cake,Heart Cake Mini,,,,
1129,Baskin-Robbins,Cake,Fudge Nut,,,,
1130,Baskin-Robbins,Cake,Round Cake,,,,
1131,Baskin-Robbins,Cake,Full Sheet Cake,,,,
1132,Baskin-Robbins,Cake,1/2 Sheet Cake,,,,
1133,Baskin-Robbins,Cake,Round Cake Mini,,,,
1136,Cold Stone,Cake,Neapolitan,,,,
1137,Cold Stone,Cake,Quilted Coffee Caramel,,,,
1139,Cold Stone,Cake,Chocolate Cake with Cadbury,,,,
1165,Cold Stone,Cake Jar,Sundae Jars Package 6,,,,
1166,Cold Stone,Cake Jar,Sundae Jars Package 3,,,,
1167,Cold Stone,Cake Jar,Sundae Bar Mini,,,,
1168,Cold Stone,Ice cream,Mint Mint Chocolate Chocolate Chip,,,,
1169,Cold Stone,Ice cream,Red Velvet Cheesecake,,,,
1170,Cold Stone,Ice cream,Fudge Truffle,,,,
1171,Cold Stone,Ice cream,Crunchy Pistachio,,,,
1172,Cold Stone,Ice cream,Cotton Candy,,,,
